region,state_name,state_name_official,state_abbr,state_abbr_official,pop,pop_male,pop_female,afromexican,part_afromexican,indigenous,part_indigenous
01,Aguascalientes,Aguascalientes,AGS,Ags.,1312544,640091,672453,653,4559,153395,18716
02,Baja California,Baja California,BC,BC,3315766,1650341,1665425,7445,10432,283055,38391
03,Baja California Sur,Baja California Sur,BCS,BCS,712029,359137,352892,11032,5132,103034,11728
04,Campeche,Campeche,CAMP,Camp.,899931,441276,458655,3554,6833,400811,13140
05,Coahuila,Coahuila de Zaragoza,COAH,Coah.,2954915,1462612,1492303,2761,8137,204890,28588
06,Colima,Colima,COL,Col.,711235,350791,360444,762,3314,145297,12373
07,Chiapas,Chiapas,CHPS,Chis.,5217908,2536721,2681187,4042,17265,1886104,52172
08,Chihuahua,Chihuahua,CHIH,Chih.,3556574,1752275,1804299,2738,8886,401195,55433
09,Ciudad de México,Distrito Federal,CDMX,DF,8918653,4231650,4687003,160353,46958,784605,175454
10,Durango,Durango,DGO,Dgo.,1754754,860382,894372,190,11290,139407,26420
11,Guanajuato,Guanajuato,GTO,Gto.,5853677,2826369,3027308,2046,17867,534438,74078
12,Guerrero,Guerrero,GRO,Gro.,3533251,1699059,1834192,229514,39067,1198362,53485
13,Hidalgo,Hidalgo,HGO,Hgo.,2858359,1369025,1489334,2067,15536,1035059,41542
14,Jalisco,Jalisco,JAL,Jal.,7844830,3835069,4009761,61140,27793,872531,122902
15,México,México,MEX,Mex.,16187608,7834068,8353540,304274,73016,2751672,252917
16,Michoacán,Michoacán de Ocampo,MICH,Mich.,4584471,2209747,2374724,3734,23214,1269309,91670
17,Morelos,Morelos,MOR,Mor.,1903811,914906,988905,7945,9237,535249,39349
18,Nayarit,Nayarit,NAY,Nay.,1181050,586000,595050,743,2810,262007,16729
19,Nuevo León,Nuevo León,NL,NL,5119504,2541857,2577647,76241,18527,352282,58973
20,Oaxaca,Oaxaca,OAX,Oax.,3967889,1888678,2079211,196213,37469,2607917,60665
21,Puebla,Puebla,PUE,Pue.,6168883,2943677,3225206,7282,29041,2176593,116754
22,Querétaro,Querétaro,QRO,Qro.,2038372,993436,1044936,2358,7744,390844,46962
23,Quintana Roo,Quintana Roo,QROO,Q. Roo,1501562,751538,750024,8458,10613,667336,31128
24,San Luis Potosí,San Luis Potosí,SLP,SLP,2717820,1317525,1400295,1066,13908,630604,45073
25,Sinaloa,Sinaloa,SIN,Sin.,2966321,1464085,1502236,1148,7015,380625,43797
26,Sonora,Sonora,SON,Son.,2850330,1410419,1439911,1586,8529,508165,45996
27,Tabasco,Tabasco,TAB,Tab.,2395272,1171592,1223680,2652,21944,617203,35508
28,Tamaulipas,Tamaulipas,TAM,Tamps.,3441698,1692186,1749512,10103,12367,216685,44805
29,Tlaxcala,Tlaxcala,TLAX,Tlax.,1272847,614565,658282,788,5649,321310,23222
30,Veracruz,Veracruz de Ignacio de la Llave,VER,Ver.,8112505,3909140,4203365,266163,63769,2373093,150329
31,Yucatán,Yucatán,YUC,Yuc.,2097175,1027548,1069627,2555,18702,1371625,54806
32,Zacatecas,Zacatecas,ZAC,Zac.,1579209,770368,808841,247,5079,120226,20893
